id,desc,asset name,image,category,subcategory,color,fit,brand,occasion,link,price,commission (%),commission (Rp)
1,A sleek black button-up shirt with a classic collar.,affiliate-women-1,women-2 Background Removed.png,Top,T-Shirt,Black,Regular,R & I Outfit,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSS2n1JXS/,"Rp52.000,00",10,Rp5.200
2,"A sporty white T-shirt with black stripes on sleeves and collar, featuring minimal text and a small logo.",affiliate-women-2,women-6 Background Removed.png,Top,Shirt,"White, Black",Slim,Studiojsj,"Lounge/Relax, Vacation/Travel, Sportswear",https://vt.tokopedia.com/t/ZSS2nF6B9/,"Rp45.999,00",7,Rp3.220
3,"An elegant white blouse with embroidered floral details and a layered, decorative yoke design.",affiliate-women-3,women-8 Background Removed.png,Top,T-Shirt,White,Regular,Rproject01,"Casual, Semi-Formal",https://vt.tokopedia.com/t/ZSS2nRxFy/,"Rp78.980,00",15,Rp11.847
4,A vintage-style gray T-shirt with a graphic print of Popeye character and bold text.,affiliate-women-4,women-9 Background Removed.png,Top,Shirt,Gray,Oversized,Oversize Outfit Hub,"Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSS2nLEhg/,"Rp56.640,00",10,Rp5.664
5,A brown long-sleeve shirt with pleats below the yoke and floral lace hem detail,affiliate-women-5,women-15 Background Removed.png,Top,T-Shirt,Brown,Relaxed,Aiisha Indonesia,"Formal, Party/Events",https://vt.tokopedia.com/t/ZSS2nLdau/,"Rp65.040,00",10,Rp6.504
6,"A dark, printed kimono-style coat with bold blue and white patterns, creating an elegant yet artistic look.",affiliate-women-6,women-27 Background Removed.png,Top,T-Shirt,Navy,Regular,Olenka,"Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2tcPEH/,"Rp275.000,00",5,Rp13.750
7,"A detailed embroidered blue and white sleeveless vest with a lace-up front, combining traditional and modern design.",affiliate-women-7,women-30 Background Removed.png,Top,T-Shirt,"Blue, White",Regular,Olenka,"Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2nRpkh/,"Rp210.000,00",5,Rp10.500
8,"An asymmetrical shirt with mixed geometric and tribal patterns in beige, grey, and black, tied at the waist for a stylish look.",affiliate-women-8,women-31 Background Removed.png,Top,T-Shirt,Gray,Regular,Olenka,"Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2tKqDf/,"Rp225.000,00",5,Rp11.250
9,"A black and white patterned cardigan with animal motifs and a relaxed fit, creating a bold, statement piece.",affiliate-women-9,women-32 Background Removed.png,Top,T-Shirt,"Black, White",Regular,Olenka,"Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2nFq2P/,"Rp235.000,00",5,Rp11.750
10,"A long, elegant, cream-colored skirt with a smooth, flowing silhouette, emphasizing a minimalist and sophisticated style.",affiliate-women-10,women-48.png,Bottom,Skirt,White,Wide,R & I Outfit,"Formal, Casual, Work/Office, Semi-Formal, Party/Events",https://vt.tokopedia.com/t/ZSSLRVQA7/,"Rp85.000,00",10,Rp8.500
11,"A sleek, tailored grey trousers with a high waist and wide-leg cut, designed for a professional, modern look.",affiliate-women-11,women-49.png,Bottom,Trousers,Charchoal,Loose,R & I Outfit,"Formal, Casual, Work/Office, Semi-Formal, Party/Events",https://vt.tokopedia.com/t/ZSSLRwhSM/,"Rp70.000,00",10,Rp7.000
12,"A stylish blue short-sleeve shirt with a structured collar and buttons, offering a polished, contemporary appearance.",affiliate-women-12,women-50.png,Top,Shirt,Royal Blue,Relaxed,R & I Outfit,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax",https://vt.tokopedia.com/t/ZSSL8n1wp/,"Rp39.000,00",10,Rp3.900
13,"A classic black button-up shirt with a pointed collar, simple and versatile for formal or casual wear.",affiliate-women-13,women-51.png,Top,Shirt,Black,Regular,R & I Outfit,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLLftq8/,"Rp52.000,00",10,Rp5.200
14,"A pair of gold metallic, twisted strap sandals with a square toe, embodying a fashionable, statement footwear choice.",affiliate-women-14,women-52 Background Removed.png,Footwear,Sandals,Gold,Regular,Urban & Co,"Casual, Party/Events, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLN1xT5/,"Rp154.800,00",5,Rp7.740
15,"A pair of elegant quilted satin slides in off-white, featuring a wide strap with a subtle 'J' logo detail for a luxurious touch.",affiliate-women-15,women-53 Background Removed.png,Footwear,Sandals,Gold,Regular,Urban & Co,"Casual, Party/Events, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLL3RKb/,"Rp159.900,00",5,Rp7.995
