id,desc,asset name,image,category,subcategory,color,fit,brand,occasion,link,price,commission (%),commission (Rp)
1,"Black T-shirt with a simple design, short sleeves, and a loose fit, suitable for everyday wear.",affiliate-men-1,mens,Top,Shirt,Black,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel", https://vt.tokopedia.com/t/ZSSJ7TBGc/,Rp99.900,12,Rp11.988
2,"Light beige T-shirt, casual style with short sleeves, comfortable for warm weather.",affiliate-men-2,,Top,Shirt,Beige,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel", https://vt.tokopedia.com/t/ZSSJ7WRe7/,Rp99.900,12,Rp11.988
3,"Light blue T-shirt with a minimalist look, short sleeves, ideal for casual outings.",affiliate-men-3,,Top,Shirt,Blue,Boxy,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ73xWT/,Rp109.900,12,Rp13.188
4,"A cozy black hoodie with a front pocket, hood, and relaxed fit, perfect for casual or loungewear.",affiliate-men-4,,Outerwear,Hoodie,Black,Relaxed,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7bpyd/,Rp259.900,12,Rp31.188
5,"Light green hoodie with a front pocket and a cozy, comfortable fit, perfect for cool weather.",affiliate-men-5,,Outerwear,Hoodie,Olive,Relaxed,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7nqyR/,Rp259.900,12,Rp31.188
6,"Dark gray hoodie with a front pocket and a loose fit, ideal for casual or outdoor activities.",affiliate-men-6,,Outerwear,Hoodie,Gray,Relaxed,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7WnrB/,Rp259.900,12,Rp31.188
7,"A plain white T-shirt with a classic crew neckline, ideal for casual wear.",affiliate-men-7,,Top,Shirt,Silver,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7WTrj/,Rp99.900,12,Rp11.988
8,"Light gray T-shirt with a simple design, short sleeves, suitable for everyday casual outings.",affiliate-men-8,,Top,Shirt,Gray,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7KQwW/,Rp99.900,12,Rp11.988
9,"Light gray T-shirt with a minimalist design, suitable for casual styling.",affiliate-men-9,,Top,Shirt,Gray,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7EER2/,Rp99.900,12,Rp11.988
10,"Light blue T-shirt with a simple, comfortable fit, suitable for everyday casual outfits.",affiliate-men-10,,Top,Shirt,Royal Blue,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7weA2/,Rp99.900,12,Rp11.988
11,"A subdued brown T-shirt, comfortable and easy to pair with various clothing.",affiliate-men-11,,Top,Shirt,Brown,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7nXYC/,Rp99.900,12,Rp11.988
12,"Soft beige T-shirt with a relaxed fit, versatile for various casual styles.",affiliate-men-12,,Top,Shirt,Beige,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7GPM4/,Rp99.900,12,Rp11.988
13,"Brown t-shirts, made of a comfortable fabric, with a classic crew neckline and a loose fit.
",affiliate-men-13,,Top,Shirt,Brown,Oversized,No Void Minds,"Lounge/Relax, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJ7poon/,Rp99.900,12,Rp11.988
14,"Light sweatpants with an elastic waistband, drawstrings, and a tapered design for a sporty look.",affiliate-men-14,,Bottom,Sweat pants,White,Regular,No Void Minds,"Sportswear, Lounge/Relax",https://vt.tokopedia.com/t/ZSSJ7cHTY/,Rp229.900,12,Rp27.588
15,Black joggers with a drawstring waistband and elastic cuffs at the ankles. ,affiliate-men-15,,Bottom,Sweat pants,Black,Regular,No Void Minds,"Sportswear, Lounge/Relax",https://vt.tokopedia.com/t/ZSSJ7GQhC/,Rp229.900,12,Rp27.588
16,"Shorts are black, featuring an elastic waist with a drawstring, suitable for casual or athletic activities, with a simple, clean design.",affiliate-men-16,,Bottom,Sweat pants,Black,Regular,No Void Minds,"Sportswear, Lounge/Relax",https://vt.tokopedia.com/t/ZSSJ7sCnu/,Rp159.900,12,Rp19.188
17,"White athletic shorts with a drawstring waistband, back pocket, and a relaxed fit, ideal for sports or leisurewear.",affiliate-men-17,,Bottom,Sweat pants,White,Regular,No Void Minds,"Sportswear, Lounge/Relax",https://vt.tokopedia.com/t/ZSSJ7gN1Q/,Rp159.900,12,Rp19.188
18,"A navy blue short-sleeve, polo shirt with a traditional collar and button placket, made of a soft, stretchy material, ideal for casual or athletic wear.",affiliate-men-18,,Top,Shirt,Navy,Regular,Klotifai,"Semi-Formal, Casual",https://vt.tokopedia.com/t/ZSSJvFCnt/,Rp174.000,5,Rp8.700
19,"A navy blue short-sleeve, button-up shirt with a classic collar, made of a sleek, smooth fabric, ideal for formal or casual occasions.",affiliate-men-19,,Top,T-Shirt,Navy,Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJvPbJt/,Rp178.000,5,Rp8.900
